지역,기준일,전일대비 확진자수, 격리 해제수
경기,2020-10-18,50,4369
세종,2020-10-18,0,75
울산,2020-10-18,0,148
대전,2020-10-18,1,359
광주,2020-10-18,0,493
인천,2020-10-18,1,916
대구,2020-10-18,0,6937
부산,2020-10-18,4,449
서울,2020-10-18,20,5132
검역,2020-10-17,5,1433
제주,2020-10-17,0,59
경남,2020-10-17,2,287
경북,2020-10-17,0,1505
전남,2020-10-17,1,166
전북,2020-10-17,0,128
충남,2020-10-17,2,468
충북,2020-10-17,0,160
강원,2020-10-17,3,220
경기,2020-10-17,32,4348
세종,2020-10-17,0,75
울산,2020-10-17,0,147
대전,2020-10-17,0,357
광주,2020-10-17,1,493
인천,2020-10-17,2,912
대구,2020-10-17,1,6936
부산,2020-10-17,6,445
서울,2020-10-17,18,5119
검역,2020-10-16,3,1427
제주,2020-10-16,0,59
경남,2020-10-16,0,287
경북,2020-10-16,0,1504
전남,2020-10-16,0,166
전북,2020-10-16,2,127
충남,2020-10-16,1,466
충북,2020-10-16,0,159
강원,2020-10-16,0,220
경기,2020-10-16,17,4327
세종,2020-10-16,0,74
울산,2020-10-16,0,146
대전,2020-10-16,2,354
광주,2020-10-16,0,493
인천,2020-10-16,4,908
대구,2020-10-16,0,6935
부산,2020-10-16,0,437
서울,2020-10-16,18,5091
검역,2020-10-15,6,1424
제주,2020-10-15,0,59
경남,2020-10-15,0,286
경북,2020-10-15,1,1497
전남,2020-10-15,0,166
전북,2020-10-15,1,123
충남,2020-10-15,0,464
충북,2020-10-15,1,157
강원,2020-10-15,1,220
경기,2020-10-15,8,4299
세종,2020-10-15,0,74
울산,2020-10-15,0,145
대전,2020-10-15,1,354
광주,2020-10-15,0,493
인천,2020-10-15,11,904
대구,2020-10-15,0,6934
부산,2020-10-15,55,428
서울,2020-10-15,25,5055
검역,2020-10-14,14,1422
제주,2020-10-14,0,59
경남,2020-10-14,0,286
경북,2020-10-14,0,1490
전남,2020-10-14,0,166
전북,2020-10-14,0,123
충남,2020-10-14,1,458
충북,2020-10-14,0,157
강원,2020-10-14,0,220
경기,2020-10-14,31,4277
세종,2020-10-14,0,74
울산,2020-10-14,1,144
대전,2020-10-14,4,354
광주,2020-10-14,0,493
인천,2020-10-14,8,901
대구,2020-10-14,0,6933
부산,2020-10-14,2,423
서울,2020-10-14,23,5050
검역,2020-10-13,21,1420
제주,2020-10-13,0,59
경남,2020-10-13,0,286
경북,2020-10-13,1,1481
전남,2020-10-13,0,166
전북,2020-10-13,1,119
충남,2020-10-13,2,455
충북,2020-10-13,1,156
강원,2020-10-13,4,219
경기,2020-10-13,38,4248
세종,2020-10-13,0,74
울산,2020-10-13,0,144
대전,2020-10-13,10,352
광주,2020-10-13,2,493
인천,2020-10-13,0,887
대구,2020-10-13,1,6933
부산,2020-10-13,1,406
서울,2020-10-13,20,4965
검역,2020-10-12,9,1418
제주,2020-10-12,0,59
경남,2020-10-12,1,286
경북,2020-10-12,1,1471
전남,2020-10-12,0,166
전북,2020-10-12,2,119
충남,2020-10-12,2,455
충북,2020-10-12,0,154
강원,2020-10-12,1,219
경기,2020-10-12,30,4212
세종,2020-10-12,0,74
울산,2020-10-12,0,144
대전,2020-10-12,13,351
광주,2020-10-12,1,492
인천,2020-10-12,3,883
대구,2020-10-12,0,6931
부산,2020-10-12,4,400
서울,2020-10-12,31,4894
검역,2020-10-12,9,1418
제주,2020-10-12,0,59
경남,2020-10-12,1,286
경북,2020-10-12,1,1471
전남,2020-10-12,0,166
전북,2020-10-12,2,119
충남,2020-10-12,2,455
충북,2020-10-12,0,154
강원,2020-10-12,1,219
경기,2020-10-12,29,4213
세종,2020-10-12,0,74
울산,2020-10-12,0,144
대전,2020-10-12,13,351
광주,2020-10-12,1,492
인천,2020-10-12,3,883
대구,2020-10-12,0,6931
부산,2020-10-12,4,400
서울,2020-10-12,31,4894
검역,2020-10-11,3,1416
제주,2020-10-11,0,59
경남,2020-10-11,0,286
경북,2020-10-11,0,1470
전남,2020-10-11,0,166
전북,2020-10-11,0,118
충남,2020-10-11,1,455
충북,2020-10-11,0,154
강원,2020-10-11,2,219
경기,2020-10-11,21,4202
세종,2020-10-11,0,73
울산,2020-10-11,1,144
대전,2020-10-11,2,351
광주,2020-10-11,0,490
인천,2020-10-11,1,882
대구,2020-10-11,1,6931
부산,2020-10-11,3,399
서울,2020-10-11,23,4878
검역,2020-10-10,5,1413
제주,2020-10-10,0,59
경남,2020-10-10,0,286
경북,2020-10-10,0,1468
전남,2020-10-10,2,166
전북,2020-10-10,0,117
충남,2020-10-10,3,448
충북,2020-10-10,0,154
강원,2020-10-10,0,218
경기,2020-10-10,24,4183
세종,2020-10-10,0,73
울산,2020-10-10,0,144
대전,2020-10-10,1,351
광주,2020-10-10,0,490
인천,2020-10-10,8,879
대구,2020-10-10,1,6929
부산,2020-10-10,3,399
서울,2020-10-10,25,4847
검역,2020-10-09,6,1407
제주,2020-10-09,0,59
경남,2020-10-09,1,285
경북,2020-10-09,0,1466
전남,2020-10-09,1,163
전북,2020-10-09,0,115
충남,2020-10-09,0,446
충북,2020-10-09,1,154
강원,2020-10-09,0,218
경기,2020-10-09,12,4160
세종,2020-10-09,0,73
울산,2020-10-09,0,144
대전,2020-10-09,5,350
광주,2020-10-09,0,489
인천,2020-10-09,0,873
대구,2020-10-09,1,6927
부산,2020-10-09,5,394
서울,2020-10-09,22,4846
검역,2020-10-08,3,1405
제주,2020-10-08,0,59
경남,2020-10-08,3,283
경북,2020-10-08,1,1464
전남,2020-10-08,0,158
전북,2020-10-08,0,114
충남,2020-10-08,0,446
충북,2020-10-08,1,154
강원,2020-10-08,0,217
경기,2020-10-08,24,4125
세종,2020-10-08,0,72
울산,2020-10-08,0,141
대전,2020-10-08,7,347
광주,2020-10-08,0,489
인천,2020-10-08,5,862
대구,2020-10-08,0,6926
부산,2020-10-08,5,392
서울,2020-10-08,20,4809
검역,2020-10-07,7,1405
제주,2020-10-07,0,59
경남,2020-10-07,0,283
경북,2020-10-07,0,1461
전남,2020-10-07,0,157
전북,2020-10-07,8,114
충남,2020-10-07,0,440
충북,2020-10-07,0,151
강원,2020-10-07,0,216
경기,2020-10-07,53,4098
세종,2020-10-07,1,72
울산,2020-10-07,1,140
대전,2020-10-07,2,345
광주,2020-10-07,0,487
인천,2020-10-07,6,858
대구,2020-10-07,1,6921
부산,2020-10-07,2,391
서울,2020-10-07,33,4736
검역,2020-10-06,5,1401
제주,2020-10-06,0,58
경남,2020-10-06,0,282
경북,2020-10-06,0,1459
전남,2020-10-06,0,157
전북,2020-10-06,9,112
충남,2020-10-06,0,435
충북,2020-10-06,0,146
강원,2020-10-06,0,214
경기,2020-10-06,35,4058
세종,2020-10-06,0,69
울산,2020-10-06,1,140
대전,2020-10-06,3,337
광주,2020-10-06,0,485
인천,2020-10-06,4,848
대구,2020-10-06,0,6920
부산,2020-10-06,3,378
서울,2020-10-06,15,4584
검역,2020-10-05,2,1391
제주,2020-10-05,0,56
경남,2020-10-05,1,281
경북,2020-10-05,1,1453
전남,2020-10-05,0,156
전북,2020-10-05,3,112
충남,2020-10-05,2,431
충북,2020-10-05,1,144
강원,2020-10-05,0,212
경기,2020-10-05,27,4021
세종,2020-10-05,1,68
울산,2020-10-05,4,140
대전,2020-10-05,1,334
광주,2020-10-05,0,481
인천,2020-10-05,5,836
대구,2020-10-05,1,6920
부산,2020-10-05,5,375
서울,2020-10-05,19,4475
검역,2020-10-04,9,1389
제주,2020-10-04,0,56
경남,2020-10-04,0,281
경북,2020-10-04,4,1452
전남,2020-10-04,0,156
전북,2020-10-04,0,112
충남,2020-10-04,0,428
충북,2020-10-04,2,144
강원,2020-10-04,0,212
경기,2020-10-04,16,4004
세종,2020-10-04,0,68
울산,2020-10-04,1,140
대전,2020-10-04,2,333
광주,2020-10-04,1,481
인천,2020-10-04,6,831
대구,2020-10-04,2,6918
부산,2020-10-04,5,374
서울,2020-10-04,16,4466
검역,2020-10-03,14,1389
제주,2020-10-03,0,56
경남,2020-10-03,0,279
경북,2020-10-03,2,1449
전남,2020-10-03,3,156
전북,2020-10-03,1,111
충남,2020-10-03,1,428
충북,2020-10-03,1,144
강원,2020-10-03,0,212
경기,2020-10-03,10,3976
세종,2020-10-03,0,68
울산,2020-10-03,0,139
대전,2020-10-03,2,333
광주,2020-10-03,0,478
인천,2020-10-03,7,830
대구,2020-10-03,0,6917
부산,2020-10-03,8,366
서울,2020-10-03,26,4456
검역,2020-10-03,14,1389
제주,2020-10-03,0,56
경남,2020-10-03,0,279
경북,2020-10-03,2,1449
전남,2020-10-03,3,156
전북,2020-10-03,1,111
충남,2020-10-03,1,428
충북,2020-10-03,1,144
강원,2020-10-03,0,212
경기,2020-10-03,10,3976
세종,2020-10-03,0,68
울산,2020-10-03,0,139
대전,2020-10-03,2,333
광주,2020-10-03,0,478
인천,2020-10-03,7,830
대구,2020-10-03,0,6917
부산,2020-10-03,8,366
서울,2020-10-03,26,4456
검역,2020-10-02,6,1389
제주,2020-10-02,0,55
경남,2020-10-02,0,278
경북,2020-10-02,4,1448
전남,2020-10-02,0,156
전북,2020-10-02,0,111
충남,2020-10-02,1,425
충북,2020-10-02,0,144
강원,2020-10-02,0,212
경기,2020-10-02,19,3948
세종,2020-10-02,0,68
울산,2020-10-02,0,137
대전,2020-10-02,0,333
광주,2020-10-02,0,478
인천,2020-10-02,4,827
대구,2020-10-02,0,6917
부산,2020-10-02,18,362
서울,2020-10-02,11,4445
검역,2020-10-01,6,1386
제주,2020-10-01,0,55
경남,2020-10-01,0,276
경북,2020-10-01,5,1445
전남,2020-10-01,1,155
전북,2020-10-01,0,107
충남,2020-10-01,3,422
충북,2020-10-01,1,144
강원,2020-10-01,0,212
경기,2020-10-01,21,3921
세종,2020-10-01,0,67
울산,2020-10-01,0,137
대전,2020-10-01,0,326
광주,2020-10-01,0,477
인천,2020-10-01,3,825
대구,2020-10-01,1,6917
부산,2020-10-01,6,361
서울,2020-10-01,30,4433
검역,2020-09-30,5,1385
제주,2020-09-30,0,55
경남,2020-09-30,0,273
경북,2020-09-30,6,1441
전남,2020-09-30,0,153
전북,2020-09-30,3,106
충남,2020-09-30,5,417
충북,2020-09-30,0,144
강원,2020-09-30,0,212
경기,2020-09-30,26,3898
세종,2020-09-30,0,67
울산,2020-09-30,1,137
대전,2020-09-30,2,322
광주,2020-09-30,3,476
인천,2020-09-30,4,822
대구,2020-09-30,2,6916
부산,2020-09-30,5,351
서울,2020-09-30,51,4416
검역,2020-09-30,5,1385
제주,2020-09-30,0,55
경남,2020-09-30,0,273
경북,2020-09-30,6,1441
전남,2020-09-30,0,153
전북,2020-09-30,3,106
충남,2020-09-30,5,417
충북,2020-09-30,0,144
강원,2020-09-30,0,212
경기,2020-09-30,26,3898
세종,2020-09-30,0,67
울산,2020-09-30,1,137
대전,2020-09-30,2,322
광주,2020-09-30,3,476
인천,2020-09-30,4,822
대구,2020-09-30,2,6916
부산,2020-09-30,5,351
서울,2020-09-30,51,4415
검역,2020-09-29,9,1382
제주,2020-09-29,0,55
경남,2020-09-29,0,269
경북,2020-09-29,2,1432
전남,2020-09-29,0,149
전북,2020-09-29,0,96
충남,2020-09-29,2,404
충북,2020-09-29,1,143
강원,2020-09-29,0,212
경기,2020-09-29,10,3855
세종,2020-09-29,0,67
울산,2020-09-29,0,135
대전,2020-09-29,0,318
광주,2020-09-29,0,474
인천,2020-09-29,0,813
대구,2020-09-29,0,6914
부산,2020-09-29,3,351
서울,2020-09-29,11,4401
검역,2020-09-28,7,1378
제주,2020-09-28,0,52
경남,2020-09-28,1,266
경북,2020-09-28,4,1427
전남,2020-09-28,0,148
전북,2020-09-28,0,95
충남,2020-09-28,0,400
충북,2020-09-28,1,142
강원,2020-09-28,1,209
경기,2020-09-28,14,3798
세종,2020-09-28,0,67
울산,2020-09-28,1,134
대전,2020-09-28,0,316
광주,2020-09-28,0,473
인천,2020-09-28,1,798
대구,2020-09-28,0,6912
부산,2020-09-28,1,347
서울,2020-09-28,19,4330
검역,2020-09-27,11,1377
제주,2020-09-27,0,52
경남,2020-09-27,1,266
경북,2020-09-27,6,1427
전남,2020-09-27,1,149
전북,2020-09-27,2,93
충남,2020-09-27,2,393
충북,2020-09-27,2,141
강원,2020-09-27,0,208
경기,2020-09-27,21,3775
세종,2020-09-27,1,67
울산,2020-09-27,0,134
대전,2020-09-27,0,313
광주,2020-09-27,2,473
인천,2020-09-27,9,795
대구,2020-09-27,0,6912
부산,2020-09-27,3,347
서울,2020-09-27,34,4326
검역,2020-09-26,9,1373
제주,2020-09-26,0,52
경남,2020-09-26,1,265
경북,2020-09-26,3,1426
전남,2020-09-26,0,140
전북,2020-09-26,3,93
충남,2020-09-26,0,385
충북,2020-09-26,0,141
강원,2020-09-26,0,208
경기,2020-09-26,14,3748
세종,2020-09-26,0,65
울산,2020-09-26,0,132
대전,2020-09-26,1,310
광주,2020-09-26,0,469
인천,2020-09-26,1,792
대구,2020-09-26,1,6909
부산,2020-09-26,2,342
서울,2020-09-26,26,4316
검역,2020-09-26,9,1373
제주,2020-09-26,0,52
경남,2020-09-26,1,265
경북,2020-09-26,3,1426
전남,2020-09-26,0,140
전북,2020-09-26,3,93
충남,2020-09-26,0,385
충북,2020-09-26,0,141
강원,2020-09-26,0,208
경기,2020-09-26,14,3748
세종,2020-09-26,0,65
울산,2020-09-26,0,132
대전,2020-09-26,1,310
광주,2020-09-26,0,469
인천,2020-09-26,1,792
대구,2020-09-26,1,6909
부산,2020-09-26,2,342
서울,2020-09-26,26,4316
검역,2020-09-25,6,1372
제주,2020-09-25,0,50
경남,2020-09-25,1,261
경북,2020-09-25,6,1425
전남,2020-09-25,0,135
전북,2020-09-25,3,93
충남,2020-09-25,1,379
충북,2020-09-25,3,140
강원,2020-09-25,1,206
경기,2020-09-25,27,3700
세종,2020-09-25,1,65
울산,2020-09-25,0,132
대전,2020-09-25,0,310
광주,2020-09-25,2,463
인천,2020-09-25,3,785
대구,2020-09-25,0,6899
부산,2020-09-25,3,335
서울,2020-09-25,57,4228
검역,2020-09-24,5,1371
제주,2020-09-24,1,49
경남,2020-09-24,1,259
경북,2020-09-24,2,1423
전남,2020-09-24,1,134
전북,2020-09-24,1,92
충남,2020-09-24,1,369
충북,2020-09-24,2,139
강원,2020-09-24,2,204
경기,2020-09-24,48,3667
세종,2020-09-24,3,65
울산,2020-09-24,0,131
대전,2020-09-24,1,309
광주,2020-09-24,0,451
인천,2020-09-24,10,776
대구,2020-09-24,1,6888
부산,2020-09-24,7,332
서울,2020-09-24,39,4173
검역,2020-09-24,5,1371
제주,2020-09-24,1,49
경남,2020-09-24,1,259
경북,2020-09-24,2,1423
전남,2020-09-24,1,134
전북,2020-09-24,1,92
충남,2020-09-24,1,369
충북,2020-09-24,2,139
강원,2020-09-24,2,204
경기,2020-09-24,48,3667
세종,2020-09-24,3,65
울산,2020-09-24,0,131
대전,2020-09-24,1,309
광주,2020-09-24,0,451
인천,2020-09-24,10,776
대구,2020-09-24,1,6888
부산,2020-09-24,7,332
서울,2020-09-24,39,4173
검역,2020-09-23,6,1366
제주,2020-09-23,0,47
경남,2020-09-23,0,257
경북,2020-09-23,6,1420
전남,2020-09-23,0,129
전북,2020-09-23,1,91
충남,2020-09-23,5,358
충북,2020-09-23,2,137
강원,2020-09-23,1,203
경기,2020-09-23,30,3613
세종,2020-09-23,0,65
울산,2020-09-23,2,127
대전,2020-09-23,0,302
광주,2020-09-23,2,441
인천,2020-09-23,5,772
대구,2020-09-23,3,6885
부산,2020-09-23,7,327
서울,2020-09-23,40,4110
검역,2020-09-22,2,1357
제주,2020-09-22,0,45
경남,2020-09-22,1,255
경북,2020-09-22,4,1420
전남,2020-09-22,0,120
전북,2020-09-22,0,89
충남,2020-09-22,0,353
충북,2020-09-22,2,137
강원,2020-09-22,2,195
경기,2020-09-22,20,3551
세종,2020-09-22,1,64
울산,2020-09-22,1,124
대전,2020-09-22,0,298
광주,2020-09-22,0,432
인천,2020-09-22,2,768
대구,2020-09-22,0,6874
부산,2020-09-22,5,325
서울,2020-09-22,21,4034
검역,2020-09-21,10,1355
제주,2020-09-21,0,45
경남,2020-09-21,2,254
경북,2020-09-21,1,1411
전남,2020-09-21,0,118
전북,2020-09-21,0,88
충남,2020-09-21,0,348
충북,2020-09-21,2,136
강원,2020-09-21,0,195
경기,2020-09-21,18,3457
세종,2020-09-21,0,64
울산,2020-09-21,0,117
대전,2020-09-21,2,291
광주,2020-09-21,1,423
인천,2020-09-21,2,764
대구,2020-09-21,1,6873
부산,2020-09-21,8,324
서울,2020-09-21,23,3985
검역,2020-09-20,6,1353
제주,2020-09-20,0,45
경남,2020-09-20,1,252
경북,2020-09-20,5,1410
전남,2020-09-20,0,115
전북,2020-09-20,0,87
충남,2020-09-20,1,346
충북,2020-09-20,1,133
강원,2020-09-20,0,194
경기,2020-09-20,26,3416
세종,2020-09-20,0,64
울산,2020-09-20,1,116
대전,2020-09-20,2,291
광주,2020-09-20,0,422
인천,2020-09-20,3,761
대구,2020-09-20,2,6872
부산,2020-09-20,6,320
서울,2020-09-20,28,3961
검역,2020-09-19,1,1351
제주,2020-09-19,0,45
경남,2020-09-19,1,250
경북,2020-09-19,4,1410
전남,2020-09-19,0,110
전북,2020-09-19,1,85
충남,2020-09-19,4,339
충북,2020-09-19,1,131
강원,2020-09-19,0,192
경기,2020-09-19,41,3355
세종,2020-09-19,0,64
울산,2020-09-19,0,108
대전,2020-09-19,2,290
광주,2020-09-19,0,412
인천,2020-09-19,11,757
대구,2020-09-19,2,6867
부산,2020-09-19,2,316
서울,2020-09-19,40,3888
검역,2020-09-18,2,1341
제주,2020-09-18,2,45
경남,2020-09-18,4,246
경북,2020-09-18,5,1407
전남,2020-09-18,0,100
전북,2020-09-18,8,79
충남,2020-09-18,6,335
충북,2020-09-18,3,126
강원,2020-09-18,0,188
경기,2020-09-18,37,3296
세종,2020-09-18,0,64
울산,2020-09-18,0,108
대전,2020-09-18,3,287
광주,2020-09-18,0,400
인천,2020-09-18,6,738
대구,2020-09-18,2,6859
부산,2020-09-18,2,311
서울,2020-09-18,46,3841
검역,2020-09-17,2,1328
제주,2020-09-17,0,45
경남,2020-09-17,3,241
경북,2020-09-17,6,1405
전남,2020-09-17,1,93
전북,2020-09-17,0,78
충남,2020-09-17,10,324
충북,2020-09-17,0,123
강원,2020-09-17,0,183
경기,2020-09-17,54,3251
세종,2020-09-17,0,63
울산,2020-09-17,0,105
대전,2020-09-17,2,279
광주,2020-09-17,1,386
인천,2020-09-17,7,733
대구,2020-09-17,2,6852
부산,2020-09-17,2,306
서울,2020-09-17,63,3748
검역,2020-09-16,2,1322
제주,2020-09-16,0,44
경남,2020-09-16,3,239
경북,2020-09-16,2,1404
전남,2020-09-16,0,82
전북,2020-09-16,5,76
충남,2020-09-16,2,316
충북,2020-09-16,2,117
강원,2020-09-16,0,180
경기,2020-09-16,26,3174
세종,2020-09-16,0,63
울산,2020-09-16,0,102
대전,2020-09-16,1,266
광주,2020-09-16,2,373
인천,2020-09-16,9,712
대구,2020-09-16,4,6848
부산,2020-09-16,4,298
서울,2020-09-16,51,3694
검역,2020-09-15,5,1316
제주,2020-09-15,3,40
경남,2020-09-15,2,237
경북,2020-09-15,1,1397
전남,2020-09-15,0,74
전북,2020-09-15,1,72
충남,2020-09-15,3,296
충북,2020-09-15,2,116
강원,2020-09-15,1,176
경기,2020-09-15,39,3094
세종,2020-09-15,0,62
울산,2020-09-15,0,97
대전,2020-09-15,3,257
광주,2020-09-15,1,361
인천,2020-09-15,9,650
대구,2020-09-15,0,6845
부산,2020-09-15,4,295
서울,2020-09-15,32,3493
검역,2020-09-14,5,1313
제주,2020-09-14,0,35
경남,2020-09-14,1,233
경북,2020-09-14,1,1394
전남,2020-09-14,0,58
전북,2020-09-14,1,69
충남,2020-09-14,8,296
충북,2020-09-14,0,114
강원,2020-09-14,0,175
경기,2020-09-14,30,3005
세종,2020-09-14,0,62
울산,2020-09-14,1,87
대전,2020-09-14,1,255
광주,2020-09-14,3,348
인천,2020-09-14,10,636
대구,2020-09-14,4,6843
부산,2020-09-14,3,290
서울,2020-09-14,41,3276
검역,2020-09-13,7,1312
제주,2020-09-13,0,35
경남,2020-09-13,3,227
경북,2020-09-13,2,1393
전남,2020-09-13,0,58
전북,2020-09-13,2,69
충남,2020-09-13,11,287
충북,2020-09-13,0,113
강원,2020-09-13,1,173
경기,2020-09-13,32,2951
세종,2020-09-13,0,62
울산,2020-09-13,7,85
대전,2020-09-13,2,244
광주,2020-09-13,3,348
인천,2020-09-13,3,636
대구,2020-09-13,14,6834
부산,2020-09-13,3,287
서울,2020-09-13,31,3112
검역,2020-09-12,10,1312
제주,2020-09-12,1,33
경남,2020-09-12,3,227
경북,2020-09-12,2,1391
전남,2020-09-12,1,58
전북,2020-09-12,1,69
충남,2020-09-12,6,275
충북,2020-09-12,0,110
강원,2020-09-12,3,169
경기,2020-09-12,32,2866
세종,2020-09-12,0,62
울산,2020-09-12,1,81
대전,2020-09-12,7,241
광주,2020-09-12,3,322
인천,2020-09-12,8,628
대구,2020-09-12,4,6834
부산,2020-09-12,4,280
서울,2020-09-12,50,3071
검역,2020-09-11,9,1308
제주,2020-09-11,2,30
경남,2020-09-11,0,208
경북,2020-09-11,2,1388
전남,2020-09-11,2,54
전북,2020-09-11,0,68
충남,2020-09-11,14,274
충북,2020-09-11,1,109
강원,2020-09-11,0,165
경기,2020-09-11,47,2776
세종,2020-09-11,0,62
울산,2020-09-11,5,79
대전,2020-09-11,11,233
광주,2020-09-11,8,321
인천,2020-09-11,8,610
대구,2020-09-11,1,6823
부산,2020-09-11,3,271
서울,2020-09-11,63,2837
검역,2020-09-10,4,1295
제주,2020-09-10,2,29
경남,2020-09-10,1,208
경북,2020-09-10,3,1386
전남,2020-09-10,2,50
전북,2020-09-10,1,68
충남,2020-09-10,12,264
충북,2020-09-10,3,108
강원,2020-09-10,2,158
경기,2020-09-10,50,2701
세종,2020-09-10,0,61
울산,2020-09-10,4,75
대전,2020-09-10,11,229
광주,2020-09-10,5,303
인천,2020-09-10,5,577
대구,2020-09-10,1,6820
부산,2020-09-10,1,266
서울,2020-09-10,48,2762
검역,2020-09-09,4,1290
제주,2020-09-09,0,27
경남,2020-09-09,1,202
경북,2020-09-09,0,1385
전남,2020-09-09,1,48
전북,2020-09-09,1,65
충남,2020-09-09,8,252
충북,2020-09-09,1,103
강원,2020-09-09,0,154
경기,2020-09-09,55,2613
세종,2020-09-09,2,60
울산,2020-09-09,4,73
대전,2020-09-09,8,218
광주,2020-09-09,17,297
인천,2020-09-09,1,529
대구,2020-09-09,2,6804
부산,2020-09-09,2,260
서울,2020-09-09,49,2643
검역,2020-09-08,4,1287
제주,2020-09-08,0,27
경남,2020-09-08,0,198
경북,2020-09-08,3,1382
전남,2020-09-08,1,47
전북,2020-09-08,3,59
충남,2020-09-08,0,242
충북,2020-09-08,1,103
강원,2020-09-08,0,145
경기,2020-09-08,31,2497
세종,2020-09-08,1,60
울산,2020-09-08,3,70
대전,2020-09-08,4,215
광주,2020-09-08,13,288
인천,2020-09-08,2,527
대구,2020-09-08,2,6804
부산,2020-09-08,1,248
서울,2020-09-08,67,2437
검역,2020-09-07,4,1283
제주,2020-09-07,0,27
경남,2020-09-07,3,194
경북,2020-09-07,0,1379
전남,2020-09-07,0,47
전북,2020-09-07,1,55
충남,2020-09-07,3,238
충북,2020-09-07,0,100
강원,2020-09-07,0,136
경기,2020-09-07,31,2415
세종,2020-09-07,0,58
울산,2020-09-07,3,69
대전,2020-09-07,5,210
광주,2020-09-07,9,281
인천,2020-09-07,1,505
대구,2020-09-07,2,6790
부산,2020-09-07,9,244
서울,2020-09-07,48,2266
검역,2020-09-06,4,1283
제주,2020-09-06,0,27
경남,2020-09-06,6,194
경북,2020-09-06,2,1376
전남,2020-09-06,3,47
전북,2020-09-06,1,53
충남,2020-09-06,2,232
충북,2020-09-06,2,99
강원,2020-09-06,5,133
경기,2020-09-06,47,2359
세종,2020-09-06,0,58
울산,2020-09-06,1,69
대전,2020-09-06,5,197
광주,2020-09-06,7,274
인천,2020-09-06,12,492
대구,2020-09-06,5,6785
부산,2020-09-06,2,243
서울,2020-09-06,63,2225
검역,2020-09-05,4,1282
제주,2020-09-05,1,27
경남,2020-09-05,8,188
경북,2020-09-05,1,1374
전남,2020-09-05,0,47
전북,2020-09-05,2,53
충남,2020-09-05,4,230
충북,2020-09-05,4,94
강원,2020-09-05,3,127
경기,2020-09-05,50,2277
세종,2020-09-05,0,58
울산,2020-09-05,1,67
대전,2020-09-05,2,197
광주,2020-09-05,8,271
인천,2020-09-05,14,478
대구,2020-09-05,5,6783
부산,2020-09-05,10,236
서울,2020-09-05,51,2220
검역,2020-09-04,4,1282
제주,2020-09-04,0,27
경남,2020-09-04,3,181
경북,2020-09-04,4,1364
전남,2020-09-04,1,45
전북,2020-09-04,0,50
충남,2020-09-04,21,225
충북,2020-09-04,4,87
강원,2020-09-04,3,120
경기,2020-09-04,56,2210
세종,2020-09-04,0,55
울산,2020-09-04,3,67
대전,2020-09-04,4,190
광주,2020-09-04,11,268
인천,2020-09-04,5,448
대구,2020-09-04,7,6769
부산,2020-09-04,4,219
서울,2020-09-04,68,2176
검역,2020-09-03,3,1271
제주,2020-09-03,0,27
경남,2020-09-03,0,176
경북,2020-09-03,0,1360
전남,2020-09-03,6,43
전북,2020-09-03,0,48
충남,2020-09-03,7,217
충북,2020-09-03,1,87
강원,2020-09-03,4,96
경기,2020-09-03,64,2117
세종,2020-09-03,0,52
울산,2020-09-03,8,66
대전,2020-09-03,4,180
광주,2020-09-03,6,257
인천,2020-09-03,16,436
대구,2020-09-03,3,6766
부산,2020-09-03,4,219
서울,2020-09-03,69,2111
검역,2020-09-02,3,1270
제주,2020-09-02,1,27
경남,2020-09-02,1,173
경북,2020-09-02,4,1359
전남,2020-09-02,3,43
전북,2020-09-02,0,46
충남,2020-09-02,7,215
충북,2020-09-02,1,85
강원,2020-09-02,2,92
경기,2020-09-02,84,2052
세종,2020-09-02,0,52
울산,2020-09-02,5,63
대전,2020-09-02,14,178
광주,2020-09-02,10,244
인천,2020-09-02,11,427
대구,2020-09-02,13,6763
부산,2020-09-02,7,219
서울,2020-09-02,101,2048
검역,2020-09-01,4,1270
제주,2020-09-01,1,26
경남,2020-09-01,3,171
경북,2020-09-01,9,1357
전남,2020-09-01,4,42
전북,2020-09-01,0,41
충남,2020-09-01,7,214
충북,2020-09-01,1,83
강원,2020-09-01,4,88
경기,2020-09-01,63,1990
세종,2020-09-01,0,52
울산,2020-09-01,6,63
대전,2020-09-01,8,171
광주,2020-09-01,4,237
인천,2020-09-01,22,414
대구,2020-09-01,2,6759
부산,2020-09-01,3,219
서울,2020-09-01,94,2001
검역,2020-08-31,3,1267
제주,2020-08-31,6,26
경남,2020-08-31,1,166
경북,2020-08-31,2,1356
전남,2020-08-31,5,42
전북,2020-08-31,1,41
충남,2020-08-31,9,205
충북,2020-08-31,1,83
강원,2020-08-31,3,81
경기,2020-08-31,79,1906
세종,2020-08-31,1,52
울산,2020-08-31,5,63
대전,2020-08-31,7,167
광주,2020-08-31,9,237
인천,2020-08-31,14,414
대구,2020-08-31,4,6757
부산,2020-08-31,4,211
서울,2020-08-31,94,1899
검역,2020-08-30,7,1266
제주,2020-08-30,2,26
경남,2020-08-30,7,166
경북,2020-08-30,3,1356
전남,2020-08-30,8,42
전북,2020-08-30,0,41
충남,2020-08-30,8,205
충북,2020-08-30,5,83
강원,2020-08-30,2,81
경기,2020-08-30,80,1858
세종,2020-08-30,1,52
울산,2020-08-30,3,63
대전,2020-08-30,6,166
광주,2020-08-30,2,236
인천,2020-08-30,13,414
